"method","url","status-code","content-length","source","referrer","status"
"GET","http://deepspacelines.com/","302","138","scanner","","saved for security testing"
"GET","http://deepspacelines.com/index.asp%00","400","150","scanner","","saved for security testing"
"GET","http://deepspacelines.com:443/","400","248","scanner","","saved for security testing"
"GET","http://www.deepspacelines.com/","302","138","scanner","","saved for security testing"
"GET","http://www.deepspacelines.com//google.com","400","150","crawling","","saved for security testing"
"GET","http://www.deepspacelines.com/index.php%00","400","150","scanner","","saved for security testing"
"GET","http://www.deepspacelines.com:443/","400","248","scanner","","saved for security testing"
"GET","https://deepspacelines.com/","302","0","scanner","","saved for security testing"
"GET","https://deepspacelines.com//google.com","400","150","crawling","","saved for security testing"
"GET","https://deepspacelines.com/api/tools/html2pdf","403","14","crawling","","saved for security testing"
"GET","https://deepspacelines.com/comic","200","5660","crawling","","saved for security testing"
"GET","https://deepspacelines.com/comic/Beige-a-vu","200","5686","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/models/","200","2723","seed","","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_comic/","200","2588","crawling","","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_comic/3bBrN3Q8Fb/","200","310","crawling","","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_comic/3bBrN3Q8Fb/image_file","200","505724","crawling","https://deepspacelines.com/comic/Beige-a-vu","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_comic/RYVpHIpc1N/","200","252","crawling","","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_comic/RYVpHIpc1N/image_file","200","379314","crawling","https://deepspacelines.com/comic/Beige-a-vu","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_comic?fields=title,id,subtitle","200","11265","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_comic?fields=title,id,subtitle","200","11265","crawling","","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_social_link/","200","53","crawling","","saved for security testing"
"GET","https://deepspacelines.com/models/dsl_social_link?fields=id,name,url,description","200","416","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/arrive.js","200","5090","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/ckeditor/ckeditor.js","200","738184","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/clear_grey.png","200","734","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/core.css","200","29430","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/core.js","200","10837","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/core_classes.js","200","43254","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/core_functions.js","200","16224","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/delete_bin.png","200","674","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/jquery/jquery-ui.min.css","200","32355","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/jquery/jquery-ui.min.js","200","251804","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/jquery/jquery-ui.structure.min.css","200","17157","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/jquery/jquery-ui.theme.min.css","200","15456","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/jquery/jquery.dragndrop.js","200","5399","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/jquery/jquery.js","200","89476","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/plugins/dsl-plugin/","404","9","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/plugins/dsl-plugin/assets/dsl_banner1.png","200","42963","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/plugins/dsl-plugin/assets/dsl_fontbanner.png","200","3467","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/plugins/dsl-plugin/scripts/","404","11","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/plugins/dsl-plugin/scripts/dsl.js","200","3966","crawling","https://deepspacelines.com/comic","saved for security testing"
"GET","https://deepspacelines.com/resource/red_x.png","200","2174","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/thin_x.png","200","1884","crawling","","saved for security testing"
"GET","https://deepspacelines.com/resource/updown_black.png","200","414","crawling","","saved for security testing"
"GET","https://www.deepspacelines.com/","302","138","scanner","","saved for security testing"
"GET","https://www.deepspacelines.com/index.jsp%00","400","150","scanner","","saved for security testing"
"GET","http://www.deepspacelines.com/index.aspx%00","400","150","scanner","","filtered as duplicate"
"GET","http://www.deepspacelines.com/index.asp%00","400","150","scanner","","filtered as duplicate"
"GET","https://www.deepspacelines.com/%2e%2e//google.com","400","150","crawling","","filtered as duplicate"
"GET","http://www.deepspacelines.com/index.jsp%00","400","150","scanner","","filtered as duplicate"
"GET","http://deepspacelines.com/%2e%2e//google.com","400","150","crawling","","filtered as duplicate"
"GET","http://deepspacelines.com/index.jsp%00","400","150","scanner","","filtered as duplicate"
"GET","https://deepspacelines.com/index.php%00","400","150","scanner","","filtered as duplicate"
"GET","https://deepspacelines.com/index.aspx%00","400","150","scanner","","filtered as duplicate"
"GET","https://deepspacelines.com/index.asp%00","400","150","scanner","","filtered as duplicate"
"GET","http://deepspacelines.com/index.php%00","400","150","scanner","","filtered as duplicate"
"GET","https://www.deepspacelines.com/index.aspx%00","400","150","scanner","","filtered as duplicate"
"GET","https://deepspacelines.com/index.jsp%00","400","150","scanner","","filtered as duplicate"
"GET","https://www.deepspacelines.com/index.php%00","400","150","scanner","","filtered as duplicate"
"GET","http://deepspacelines.com/index.aspx%00","400","150","scanner","","filtered as duplicate"
"GET","https://www.deepspacelines.com/index.asp%00","400","150","scanner","","filtered as duplicate"
"GET","http://www.deepspacelines.com/%2e%2e/","400","150","scanner","","filtered as duplicate"
"GET","https://deepspacelines.com/%2e%2e/","400","150","scanner","","filtered as duplicate"
"GET","https://deepspacelines.com/comic","200","5660","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/jquery/","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/models","200","2723","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/ckeditor/","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/g,l=/&(lt","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/g,","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/.test(f))","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/gi,","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/g;CKEDITOR.ui.panel.prototype.addListBlock=function(a,b)","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/hidpi","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/anchor.png","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/scayt.css","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/gi;f.prototype=","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/wsc.css","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/plugins/","404","9","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/image_file","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/comic/","200","5666","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/icon","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/plugins/dsl-plugin/assets/","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/plugins/dsl-plugin/","404","9","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/plugins/","404","9","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/api/tools/","403","14","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/api/","302","0","scanner","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/jquery/","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/resource/","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/inline","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/g,","302","0","crawling","","filtered as duplicate"
"GET","https://deepspacelines.com/","302","0","scanner","","filtered as duplicate"
